id;regname.ru;Chislen_zanatih_2010;Chislen_zanatih_2018
Bashkortostan;Республика Башкортостан;1825,1;1685,3
Mariy-El;Республика Марий Эл;319,4;281,4
Mordovia;Республика Мордовия;426,3;379,9
Tatarstan;Республика Татарстан;1949,3;1944,3
Udmurt;Удмуртская Республика;761,7;700,5
Chuvash;Чувашская Республика;597,9;516,8
Perm';Пермский край;1248,5;1155,6
Kirov;Кировская область;624,9;585,4
Nizhegorod;Нижегородская область ;1728,1;1633,1
Orenburg;Оренбургская область;960,4;920,6
Penza;Пензенская область;638,9;604,8
Samara;Самарская область;1740,5;1652,9
Saratov;Саратовская область;1155,7;1051,4
Ul'yanovsk;Ульяновская область;602,6;570,9
